timestamp,emotion,AUs
2025-11-23T20:42:49.603Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:49.912Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:50.233Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:50.575Z,neutral,"['Looking Down', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:50.912Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:51.250Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:51.554Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:51.901Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:52.207Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:52.506Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:52.809Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:53.124Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:53.471Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:53.832Z,neutral,"['Looking Down', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:54.150Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:54.467Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:54.808Z,neutral,"['Looking Down', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:55.185Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:55.503Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:55.835Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:56.146Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:56.483Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:56.800Z,neutral,"['Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:57.149Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:57.445Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:57.751Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:58.087Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:58.422Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:58.742Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:59.062Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:42:59.433Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Lip Tightener', 'Lid Tightener']"
